id	name
1	Agapios
2	Agathon
3	Akakios
4	Alexandros
5	Alexios
6	Anakletos
7	Anatolios
8	Androkles
9	Aniketos
10	Apollonios
11	Archelaos
12	Archimedes
13	Argyros
14	Aristeides
15	Aristodemos
16	Aristokles
17	Ariston
18	Aristophanes
19	Arkadios
20	Arsenios
21	Athanasios
22	Bion
23	Demosthenes
24	Epiktetos
25	Euphemios
26	Euripides
27	Euthymios
28	Eutropios
29	Galenos
30	Gennadios
31	Heliodoros
32	Herodotos
33	Heron
34	Homeros
35	Hyginos
36	Hypatos
37	Iason
38	Kallikrates
39	Kleisthenes
40	Kleon
41	Lysandros
42	Paramonos
43	Pelagios
44	Phaidros
45	Philon
46	Phoibos
47	Photios
48	Platon
49	Praxiteles
50	Ptolemaios
51	Solon
52	Sophokles
53	Sophos
54	Sosigenes
55	Straton
56	Themistokles
57	Theron
58	Timon
59	Tychon
60	Zephyros
