id	name
1	Aguta
2	Akiak
3	Arjalinerk
4	Arrluk
5	Assiminik
6	Aukaneck
7	Chulyin
8	Cikuq
9	Iluq
10	Issumatar
11	Kakortok
12	Karpok
13	Kesuk
14	Kinaktok
15	Kinapak
16	Krernertok
17	Kussuyok
18	Maguyuk
19	Maniitok
20	Nauja
21	Ningakpok
22	Nukilik
23	Olikpok
24	Piktaungitok
25	Pukulria
26	Qigiq
27	Saghani
28	Salaksartok
29	Sangilak
30	Saomik
31	Shila
32	Siku
33	Sirmiq
34	Sitiyok
35	Sos
36	Suka
37	Taliriktug
38	Taqukaq
39	Tartok
40	Tiglikte
41	Tikaani
42	Tonrar
43	Tornuaq
44	Tulugaq
45	Tulukaruk
46	Tuluwaq
47	Tungulria
48	Tuwawi
49	Ulva
50	Yakone
