id	name
1	Agaue
2	Airope
3	Aithra
4	Alkestis
5	Alkippe
6	Alkmene
7	Amphithoe
8	Amphitrite
9	Antheia
10	Antiochis
11	Arete
12	Artemidora
13	Auge
14	Charikleia
15	Deianeira
16	Diomede
17	Dorothea
18	Dynamene
19	Eidothea
20	Eunike
21	Galatea
22	Gorgo
23	Halia
24	Harmodios
25	Iphimedeia
26	Kalypso
27	Kharmion
28	Khryseis
29	Khyrse
30	Klymene
31	Laodike
32	Ligeia
33	Marpessa
34	Megæra
35	Olympias
36	Pasiphæ
37	Perialla
38	Phaidra
39	Pherenike
40	Philomela
41	Phyllis
42	Polydamna
43	Polyxena
44	Rhoxane
45	Sostrate
46	Telephassa
47	Xanthe
48	Xanthippe
49	Xene
50	Zosime
