id	name
1	Agathokles
2	Agenor
3	Aietes
4	Akrisios
5	Antichares
6	Antiochos
7	Antisthenes
8	Bion
9	Chrestos
10	Damoetas
11	Daphnis
12	Demoleon
13	Epaphroditos
14	Eudoxos
15	Eugammon
16	Eumastas
17	Eumenes
18	Euonomos
19	Euthydemos
20	Galenos
21	Heron
22	Hippasos
23	Iason
24	Isagoras
25	Kleitos
26	Kleomenes
27	Kynægeiros
28	Leukippos
29	Lycophron
30	Melas
31	Menekrates
32	Nikandros
33	Onesimos
34	Orsilochos
35	Panetios
36	Phalanthos
37	Phegeus
38	Philokles
39	Philon
40	Polyneikes
41	Ptolemaios
42	Sophokles
43	Telamon
44	Telesphoros
45	Thales
46	Theognis
47	Thrasyboulos
48	Tros
49	Xenokrates
50	Zotikos
