id	name
1	Bagada
2	Bahareko
3	Baijata
4	Baliti
5	Batu
6	Bisku
7	Bora
8	Bortegana
9	Dangata
10	Darbohanshati
11	Darbu
12	Dubano
13	Dzogoshi
14	Gabata
15	Gasani
16	Gatifan
17	Ged-ahini
18	Genzebo
19	Guri
20	Gurlu
21	Habura
22	Hadzi
23	Kaibiri
24	Kalati
25	Kashin
26	Kidzi
27	Kitshaki
28	Kiwak
29	Kokaodi
30	Korumi
31	Kulugmat
32	Kushta
33	Lakha-ta
34	Lambano
35	Mangatinuh
36	Mertematakalbano
37	Mizgita
38	Mogatooti
39	Munatenorma
40	Nagaikota
41	Nuh-ni
42	Okuhnti
43	Ramun-auni
44	Shida
45	Sho-kaia
46	Shuaxota
47	Shuo
48	Ta-mita
49	Tashana
50	Tin-ako
51	Tinteganzabu
52	Tirgɑtɑ
53	To-ra
54	Toko-na
55	Tshoma
56	Tso-nakau
57	Tukahe-da
58	Tæhata
59	Wu-rakatubat
60	Zilanka
