id	name
1	Argentocoxos
2	Arviragos
3	Bodiccios
4	Brigomaglos
5	Cacumattos
6	Calgacos
7	Caratacos
8	Catavignos
9	Ceanatis
10	Cingetorix
11	Cintusmos
12	Cogidubnos
13	Commios
14	Crotos
15	Cunittos
16	Cunobarros
17	Cunobelinos
18	Cunopectos
19	Cunovindos
20	Dubnovellaunos
21	Enestinos
22	Ivomagos
23	Litugenos
24	Lugotorix
25	Mandubracios
26	Matugenos
27	Morirex
28	Motios
29	Nectovelios
30	Rianorix
31	Saccios
32	Segovax
33	Senorix
34	Setibogios
35	Tancorix
36	Taximagulos
37	Togodumnos
38	Uepogenos
39	Venutios
40	Vindex
