id	name
1	Adrasteia
2	Aella
3	Agathe
4	Agaue
5	Aglaia
6	Akantha
7	Alekto
8	Alexandra
9	Alexia
10	Alkippe
11	Althaia
12	Ambrosia
13	Andromeda
14	Aristomache
15	Artemisia
16	Astraia
17	Athanais
18	Athanasia
19	Demetria
20	Demostrate
21	Eudoxia
22	Eugeneia
23	Eulalia
24	Eunike
25	Euphemia
26	Euphrasia
27	Eupraxia
28	Eutropia
29	Gaiane
30	Galene
31	Helene
32	Hypatia
33	Iphigeneia
34	Kallisto
35	Kallistrate
36	Kleio
37	Lysistrate
38	Pelagia
39	Pherenike
40	Phoibe
41	Photine
42	Ptolemais
43	Sophia
44	Sostrate
45	Theodora
46	Theodosia
47	Xanthe
48	Xanthippe
49	Zenais
50	Zosime
