id	name
1	Abragos
2	Akasas
3	Andranakos
4	Ardaros
5	Asanos
6	Aspakos
7	Aspamitharês
8	Aurazakos
9	Aziagos
10	Azos
11	Badagos
12	Baxagos
13	Bistês
14	Bôrakos
15	Chodainos
16	Chodekios
17	Gadikios
18	Gaos
19	Gosôn
20	Iazadagos
21	Irganos
22	Iôdas
23	Kainaxarthos
24	Karaxstos
25	Karsas
26	Katokas
27	Kopharnos
28	Kossas
29	Madakos
30	Mastas
31	Medosaccos
32	Mordos
33	Mêthakos
34	Nabazos
35	Olgasos
36	Ourgios
37	Oustanos
38	Pagos
39	Pharnagos
40	Phoros
41	Pêrakos
42	Rassogos
43	Saraxazos
44	Siranos
45	Spakos
46	Spithamês
47	Sturanos
48	Xarthanos
49	Xobas
50	Zabandos
