id	name
1	Aghi
2	Alfarr
3	Arnfastr
4	Arngrímr
5	Arnhallr
6	Arnhvatr
7	Arnkell
8	Arnsteinn
9	Arnvidr
10	Ásbrandr
11	Ásgeirr
12	Áskell
13	Ásmarr
14	Ásulfr
15	Audbjörn
16	Audgrímr
17	Audkell
18	Audulfr
19	Audsteinn
20	Audvidr
21	Baggi
22	Balli
23	Bergr
24	Bersi
25	Bjartr
26	Björn
27	Björnkell
28	Brandr
29	Brandulfr
30	Broddr
31	Brúnkell
32	Dagr
33	Dagvidr
34	Einarr
35	Eiríkr
36	Eldgrímr
37	Eybjörn
38	Fastmundr
39	Fastulfr
40	Fjölmódr
41	Frakki
42	Freygeirr
43	Freyrikr
44	Freyvidr
45	Fródi
46	Gedda
47	Geirfastr
48	Geirleifr
49	Geirmodr
50	Geirr
51	Grímkell
52	Grímr
53	Gunnkell
54	Gunnleifr
55	Gunnr
56	Gunnvidr
57	Hafr
58	Haki
59	Hákon
60	Hallbjörn
61	Hallgrímr
62	Hallr
63	Haukr
64	Helgi
65	Hermundr
66	Hólmfastr
67	Hólmkell
68	Hrólfr
69	Ingi
70	Ívarr
71	Jöfurr
72	Ketill
73	Knútr
74	Lodinn
75	Magnus
76	Oddi
77	Óleifr
78	Orri
79	Ragnarr
80	Rúni
81	Sigmundr
82	Sigtryggr
83	Sigurdr
84	Snæbjörn
85	Snorri
86	Sölvi
87	Steinn
88	Stigr
89	Sunnvidr
90	Úlfr
91	Ullbjörn
92	Ullbrandr
93	Ulldr
94	Ullfredr
95	Ullgeirr
96	Ullgrímr
97	Ullir
98	Ullvaldr
99	Vedr
100	Vígmadr
